Batch,Robot,X,Y,neighbor_0,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5,neighbor_6,neighbor_7,neighbor_8,neighbor_9,leader
1,0,0.24488938208756234,0.35175374707014095,,0.9549610829291671,0.771104231146959,2.01222943148934,0.6758480816598729,0.8770353106518608,1.8038729140481546,1.0206099110831446,0.8487423993127755,2.024114452393626,0.833020254172723
1,1,0.6474376545093068,-0.5142171290449375,0.9549610829291671,,1.337457334612875,1.2710954930950649,1.1174454966256722,0.514996497335718,1.990955706311078,1.974623081904678,1.8000832994279385,1.5531295017590059,0.6234737069525201
1,2,0.8688836291591313,0.8047801424538191,0.771104231146959,1.337457334612875,,2.580815962989177,1.445162380749669,0.9346690484127291,2.5701178444310786,1.1133181847087879,1.1085116715960108,2.7135101007280764,0.8153910597930722
1,3,0.08501662233753648,-1.6541146398490567,2.01222943148934,1.2710954930950649,2.580815962989177,,1.7183119398010696,1.774697592614674,1.8344306431791222,2.963851117423206,2.7396806317248643,0.6423858705310372,1.890314741825177
1,4,-0.3388295650559473,0.011103163291097938,0.6758480816598729,1.1174454966256722,1.445162380749669,1.7183119398010696,,1.3279470810328684,1.1286663483002972,1.308263995247541,1.066926124809349,1.5378039400975672,1.3388756045663712
1,5,0.9823311318852127,-0.12297838980873697,0.8770353106518608,0.514996497335718,0.9346690484127291,1.774697592614674,1.3279470810328684,,2.356699613951155,1.8060804678491502,1.6848065789468576,2.062922831800217,0.12424118987037837
1,6,-1.3434877940256285,-0.503240660185992,1.8038729140481546,1.990955706311078,2.5701178444310786,1.8344306431791222,1.1286663483002972,2.356699613951155,,2.176878996132103,1.9404572293034892,1.2895491529340994,2.396911805388663
1,7,-0.12716809247329414,1.3021314752522264,1.0206099110831446,1.974623081904678,1.1133181847087879,2.963851117423206,1.308263995247541,1.8060804678491502,2.176878996132103,,0.24570864391418282,2.845746203236917,1.722223646200581
1,8,-0.20745472932594616,1.0699100429143884,0.8487423993127755,1.8000832994279385,1.1085116715960108,2.7396806317248643,1.066926124809349,1.6848065789468576,1.9404572293034892,0.24570864391418282,,2.604705207537219,1.613274441408114
1,9,-0.5417356246681406,-1.5132557475800443,2.024114452393626,1.5531295017590059,2.7135101007280764,0.6423858705310372,1.5378039400975672,2.062922831800217,1.2895491529340994,2.845746203236917,2.604705207537219,,2.160298982538042
2,0,0.2913398952237638,0.31670251193209464,,0.8132223147326869,0.6447320642224126,1.8687417275115392,0.6209277014290255,0.787628119932984,1.7077125919439784,0.9862250875325214,0.8242580553057701,1.9017820754325043,0.7762084933608783
2,1,0.6725830805111329,-0.4016178670431436,0.8132223147326869,,1.0955034742075418,1.2839765699022372,1.0188098062441937,0.3885891804221473,1.894100684035507,1.7977386818495418,1.6355834396932978,1.533792131665272,0.5181686504371559
2,2,0.8214063280112475,0.6837297745004837,0.6447320642224126,1.0955034742075418,,2.3444337610616124,1.2637860647779275,0.8168170942117339,2.3490041033720304,1.0626045660944474,1.0355367174244683,2.4733696547008024,0.7066697278169685
2,3,0.0784754396120825,-1.5398761607020477,1.8687417275115392,1.2839765699022372,2.3444337610616124,,1.595791237774801,1.6597875253782308,1.6770717185394308,2.7701266240254494,2.55558872245535,0.558313062836323,1.794554570275483
2,4,-0.25453732094487225,0.020781449366563065,0.6209277014290255,1.0188098062441937,1.2637860647779275,1.595791237774801,,1.2074963185473495,1.0868601775816356,1.2149342224747588,0.9876959208482577,1.4632668999145424,1.2547094318133232
2,5,0.9442726764479399,-0.12379361576033948,0.787628119932984,0.3885891804221473,0.8168170942117339,1.6597875253782308,1.2074963185473495,,2.1930971956331877,1.7014998478458905,1.5808713394245022,1.9217361769133863,0.13575858681238018
2,6,-1.2199588920424365,-0.47844418666617844,1.7077125919439784,1.894100684035507,2.3490041033720304,1.6770717185394308,1.0868601775816356,2.1930971956331877,,2.042408166465509,1.820704519353933,1.2101271001074922,2.2709307171538597
